id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1628404296730681344,1628322843854520327,2023-02-22 21:40:13 SE Asia Standard Time,2023-02-22,21:40:13,+0700,1354858775736274944,jokerjutex,🇮🇩❤️,,@setiyo_welly @Anaksemut4 @puanmaharani_ri @Miduk17 jongos,es,[],[],[],0,0,0,[],[],https://twitter.com/jokerjutex/status/1628404296730681344,False,,0,,,,,,,,"[{'screen_name': 'setiyo_welly', 'name': '🇮🇩 pawang kadrun 🇮🇩', 'id': '1481406888323747840'}, {'screen_name': 'Anaksemut4', 'name': '#KamiOposisi', 'id': '984748161980817409'}, {'screen_name': 'puanmaharani_ri', 'name': 'Puan Maharani', 'id': '1410866743271051267'}, {'screen_name': 'Miduk17', 'name': 'Jhon Sitorus', 'id': '1102461866129776640'}]",,,,
1628399203562184704,1628399203562184704,2023-02-22 21:19:58 SE Asia Standard Time,2023-02-22,21:19:58,+0700,2879211871,jatengtv,Jateng TV,,(07) Kelebihan lainnya dari PT Peroangan adalah mendapatkan prioritas dalam mengakses berbagai program pemerintah yang dikhususkan untuk UMKM. #ptperorangan #badanhukum #badanusaha #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024  https://t.co/HRqCfZUnue,in,[],[],['https://pbs.twimg.com/media/FlukWnQaAAA_xlH.jpg'],0,0,0,"['ptperorangan', 'badanhukum', 'badanusaha', 'ganjarpranowo', 'prabowo', 'aniesbaswedan', 'puanmaharani', 'pilpres2024']",[],https://twitter.com/JatengTV/status/1628399203562184704,False,,1,https://pbs.twimg.com/media/FlukWnQaAAA_xlH.jpg,,,,,,,[],,,,
1628398492053049345,1628322843854520327,2023-02-22 21:17:09 SE Asia Standard Time,2023-02-22,21:17:09,+0700,1563431836281638915,the3brothers2,the3brothers🇮🇩🇮🇩🇮🇩,,@setiyo_welly @Anaksemut4 @puanmaharani_ri @Miduk17 muka mesum tuh,in,[],[],[],0,0,0,[],[],https://twitter.com/the3brothers2/status/1628398492053049345,False,,0,,,,,,,,"[{'screen_name': 'setiyo_welly', 'name': '🇮🇩 pawang kadrun 🇮🇩', 'id': '1481406888323747840'}, {'screen_name': 'Anaksemut4', 'name': '#KamiOposisi', 'id': '984748161980817409'}, {'screen_name': 'puanmaharani_ri', 'name': 'Puan Maharani', 'id': '1410866743271051267'}, {'screen_name': 'Miduk17', 'name': 'Jhon Sitorus', 'id': '1102461866129776640'}]",,,,
1628390167458336768,1628390167458336768,2023-02-22 20:44:04 SE Asia Standard Time,2023-02-22,20:44:04,+0700,3064610583,puannews,Berita Mbak Puan Maharani,,"#Kalahkan AHY, Sandi hingga Puan, Ini 2 Faktor yang Bikin Erick Thohir Jadi Kandidat Cawapres Terkuat -  https://t.co/gL4HNBd1Bc  #PuanMaharani   https://t.co/PGLOLzgNPN",in,[],"['http://Suara.com', 'https://ift.tt/e7FVjZC']",[],0,0,0,"['kalahkan', 'puanmaharani']",[],https://twitter.com/PUANnews/status/1628390167458336768,False,,0,,,,,,,,[],,,,
1628388214032719873,1628344075027120130,2023-02-22 20:36:18 SE Asia Standard Time,2023-02-22,20:36:18,+0700,1559108577326874626,aleinibrahim,alein ibrahim,,@kangwaqfi2 @SalJu_SoYaLa @MariaAlcaff @puanmaharani_ri @La_22722 Udah gila orang satu ini yaa ...,in,[],[],[],0,0,1,[],[],https://twitter.com/AleinIbrahim/status/1628388214032719873,False,,0,,,,,,,,"[{'screen_name': 'kangwaqfi2', 'name': 'Kang Waqfi', 'id': '1484825719524196356'}, {'screen_name': 'SalJu_SoYaLa', 'name': 'Ratu Lebah', 'id': '2154237978'}, {'screen_name': 'MariaAlcaff', 'name': 'Maria A. Alcaff', 'id': '77654478'}, {'screen_name': 'puanmaharani_ri', 'name': 'Puan Maharani', 'id': '1410866743271051267'}, {'screen_name': 'La_22722', 'name': '🍁K4RM1L4', 'id': '1620411381337186305'}]",,,,
1628386472519938048,1627656991228284932,2023-02-22 20:29:23 SE Asia Standard Time,2023-02-22,20:29:23,+0700,1545601252238970880,knanden,Karna Nanden,,@puanmaharani_ri 👍,und,[],[],[],0,0,0,[],[],https://twitter.com/KNanden/status/1628386472519938048,False,,0,,,,,,,,"[{'screen_name': 'puanmaharani_ri', 'name': 'Puan Maharani', 'id': '1410866743271051267'}]",,,,
1628386451137380353,1627946765013118976,2023-02-22 20:29:18 SE Asia Standard Time,2023-02-22,20:29:18,+0700,1603797648816762881,adangkomarudin3,KA SLI,,@puanmaharani_ri Sehat jasmani dan rohani dambaan semua manusia beriman dan bertaqwa pada Tuhan Yang Maha Esa.  Banyak manusia mendambakan harta dan tahta tapi mereka lupa dengan bagaimana cara mendapatkannya.  Jangan lupakan sejarah di mana firaun dan balatentaranya tenggelam melawan utusan-Nya.,in,[],[],[],0,0,0,[],[],https://twitter.com/adangkomarudin3/status/1628386451137380353,False,,0,,,,,,,,"[{'screen_name': 'puanmaharani_ri', 'name': 'Puan Maharani', 'id': '1410866743271051267'}]",,,,
1628386243838111746,1628386243838111746,2023-02-22 20:28:29 SE Asia Standard Time,2023-02-22,20:28:29,+0700,2408810690,theuncledee,#TuanⓂuda™,,"Sekarang jelas ya semuanya,   Nggak usah heran kalau ada yg alergi liat Ibu Ibu pergi ke  pengajian..  @puanmaharani_ri  @PDI_Perjuangan    https://t.co/mDZ8W7zfDO",in,"[{'screen_name': 'puanmaharani_ri', 'name': 'puan maharani', 'id': '1410866743271051267'}, {'screen_name': 'pdi_perjuangan', 'name': 'pdi perjuangan', 'id': '153407983'}]",['https://twitter.com/caul_tanjung/status/1628260668687396864?s=20'],[],0,0,0,[],[],https://twitter.com/TheUncleDee/status/1628386243838111746,False,https://twitter.com/caul_tanjung/status/1628260668687396864?s=20,0,,,,,,,,[],,,,
1628386236691021825,1627656991228284932,2023-02-22 20:28:27 SE Asia Standard Time,2023-02-22,20:28:27,+0700,1545601252238970880,knanden,Karna Nanden,,@puanmaharani_ri 👍,und,[],[],[],0,0,0,[],[],https://twitter.com/KNanden/status/1628386236691021825,False,,0,,,,,,,,"[{'screen_name': 'puanmaharani_ri', 'name': 'Puan Maharani', 'id': '1410866743271051267'}]",,,,
1628385846008352769,1628270813509214209,2023-02-22 20:26:54 SE Asia Standard Time,2023-02-22,20:26:54,+0700,1615892895881650176,wahyutekeks,wahyu tekeks,,@gtobing2903 @PDI_Perjuangan @KomnasHAM @KomnasPerempuan @jokowi @mohmahfudmd @puanmaharani_ri Sangking susah nya cari kesalahan,in,[],[],[],0,0,0,[],[],https://twitter.com/WahyuTekeks/status/1628385846008352769,False,,0,,,,,,,,"[{'screen_name': 'gtobing2903', 'name': 'Nella G Tobing', 'id': '1465756979977068551'}, {'screen_name': 'PDI_Perjuangan', 'name': 'PDI Perjuangan', 'id': '153407983'}, {'screen_name': 'KomnasHAM', 'name': 'HAM untuk Semua!', 'id': '183718365'}, {'screen_name': 'KomnasPerempuan', 'name': 'Komnas Perempuan', 'id': '264004803'}, {'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': '366987179'}, {'screen_name': 'mohmahfudmd', 'name': 'Mahfud MD', 'id': '282006208'}, {'screen_name': 'puanmaharani_ri', 'name': 'Puan Maharani', 'id': '1410866743271051267'}]",,,,
1628385453949984768,1627946765013118976,2023-02-22 20:25:20 SE Asia Standard Time,2023-02-22,20:25:20,+0700,1603797648816762881,adangkomarudin3,KA SLI,,@puanmaharani_ri @KAI121 KRL merupakan alat tranfortasi murah tapi terarah sehingga sampai tujuan dengan tepat waktu.  2024 merupakan waktu kita merubah keadaan dari jaman jahil yah ke jaman terang benderang karena semua anggaran terbuka.  Beda sama pemilihan mau tertutup karena mereka menutupi anggaran.,in,[],[],[],0,0,0,[],[],https://twitter.com/adangkomarudin3/status/1628385453949984768,False,,0,,,,,,,,"[{'screen_name': 'puanmaharani_ri', 'name': 'Puan Maharani', 'id': '1410866743271051267'}, {'screen_name': 'KAI121', 'name': 'Kereta Api Indonesia', 'id': '516165629'}]",,,,
1628384268912300034,1627946765013118976,2023-02-22 20:20:38 SE Asia Standard Time,2023-02-22,20:20:38,+0700,1603797648816762881,adangkomarudin3,KA SLI,,@puanmaharani_ri Mendengarkan musik sebagai alat untuk mengingat kepada pencipta langit dan bumi beserta isinya.  Ada sebagian manusia mengharamkan musik karena mereka beragama bukan pakai perasaan tapi pakai aturan baku dari hati membeku.  Sehingga segala sesuatu mereka atur tanpa tahu dan malu.,in,[],[],[],0,0,0,[],[],https://twitter.com/adangkomarudin3/status/1628384268912300034,False,,0,,,,,,,,"[{'screen_name': 'puanmaharani_ri', 'name': 'Puan Maharani', 'id': '1410866743271051267'}]",,,,
1628380850609061890,1628344075027120130,2023-02-22 20:07:03 SE Asia Standard Time,2023-02-22,20:07:03,+0700,1484825719524196356,kangwaqfi2,Kang Waqfi,,@SalJu_SoYaLa @MariaAlcaff @puanmaharani_ri @La_22722  https://t.co/Ir4aNZru7Q,qme,[],[],"['https://pbs.twimg.com/media/FpkrvROaMAEcMWL.jpg', 'https://pbs.twimg.com/media/Fpkrv1ZaUAETxUW.jpg']",1,0,1,[],[],https://twitter.com/kangwaqfi2/status/1628380850609061890,False,,1,https://pbs.twimg.com/media/FpkrvROaMAEcMWL.jpg,,,,,,,"[{'screen_name': 'SalJu_SoYaLa', 'name': 'Ratu Lebah', 'id': '2154237978'}, {'screen_name': 'MariaAlcaff', 'name': 'Maria A. Alcaff', 'id': '77654478'}, {'screen_name': 'puanmaharani_ri', 'name': 'Puan Maharani', 'id': '1410866743271051267'}]",,,,
1628376550289842177,1628376550289842177,2023-02-22 19:49:58 SE Asia Standard Time,2023-02-22,19:49:58,+0700,2879211871,jatengtv,Jateng TV,,"(10) Dalam PT Perorangan, modal pendirian badan hukum bersifat bebas, mulai dari Rp0 hingga maksimal Rp5 Miliar. Menarik bukan? #Indonesiamaju #jokowi #ptperorangan #badanhukum #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024  https://t.co/HRqCfZUnue",in,[],[],['https://pbs.twimg.com/media/FlukWnQaAAA_xlH.jpg'],0,0,0,"['indonesiamaju', 'jokowi', 'ptperorangan', 'badanhukum', 'umkm', 'ganjarpranowo', 'prabowo', 'aniesbaswedan', 'puanmaharani', 'pilpres2024']",[],https://twitter.com/JatengTV/status/1628376550289842177,False,,1,https://pbs.twimg.com/media/FlukWnQaAAA_xlH.jpg,,,,,,,[],,,,
1628375913640652801,1628375913640652801,2023-02-22 19:47:26 SE Asia Standard Time,2023-02-22,19:47:26,+0700,1119457371393146880,hendrikorachman,enrico abdul Rachman (kapal tanker),,"Ada kerajaan tiongkok memiliki raja yg sangat baik tapi kerajaannya hancur.Saking baiknya menimbulkan kekacauan sistem kerajaan akan hukumnya,timbul pemberontakan.Daerah kerinci sana, byk kelelawar jumlahnya besar Cc @mohmahfudmd @jokowi @prabowo @puanmaharani_ri @KPU_ID @KPK_RI",in,"[{'screen_name': 'mohmahfudmd', 'name': 'mahfud md', 'id': '282006208'}, {'screen_name': 'jokowi', 'name': 'joko widodo', 'id': '366987179'}, {'screen_name': 'prabowo', 'name': 'prabowo subianto', 'id': '40580714'}, {'screen_name': 'puanmaharani_ri', 'name': 'puan maharani', 'id': '1410866743271051267'}, {'screen_name': 'kpu_id', 'name': 'kpu ri', 'id': '2413697946'}, {'screen_name': 'kpk_ri', 'name': 'kpk', 'id': '104714478'}]",[],[],0,0,0,[],[],https://twitter.com/Hendrikorachman/status/1628375913640652801,False,https://twitter.com/ListyoSigitP/status/1628375734510297089,0,,,,,,,,[],,,,
1628375104471334917,1628375104471334917,2023-02-22 19:44:13 SE Asia Standard Time,2023-02-22,19:44:13,+0700,1592418480703541248,selera_milenial,selera_milenial,,Hasil musra hari ini.  #airlanggahartarto  #golkarindonesia  #pemilu2024  #capres2024  #ridwankamil  #GanjarPranowo  #AniesBaswedan  #prabowo  #puanmaharani  https://t.co/9EX2jXIZKy,in,[],[],[],0,0,0,"['airlanggahartarto', 'golkarindonesia', 'pemilu2024', 'capres2024', 'ridwankamil', 'ganjarpranowo', 'aniesbaswedan', 'prabowo', 'puanmaharani']",[],https://twitter.com/Selera_Milenial/status/1628375104471334917,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1628375047948898305/pu/img/AXqzxO0EKZupkFCl.jpg,,,,,,,[],,,,
1628371478747160583,1628371478747160583,2023-02-22 19:29:48 SE Asia Standard Time,2023-02-22,19:29:48,+0700,99851231,atokssk,🇲🇨Datuk SSK,,@bawaslu_RI bagaimana dengan baleho nya @puanmaharani_ri yg sdh terpasang dari tahun lalu di tiap kab/kota se Indonesia oleh @PDI_Perjuangan .,in,"[{'screen_name': 'puanmaharani_ri', 'name': 'puan maharani', 'id': '1410866743271051267'}, {'screen_name': 'pdi_perjuangan', 'name': 'pdi perjuangan', 'id': '153407983'}]",[],[],0,0,0,[],[],https://twitter.com/AtokSsk/status/1628371478747160583,False,https://twitter.com/firzahusaininc/status/1628160486851375104,0,,,,,,,,[],,,,
1628366069412007939,1628366069412007939,2023-02-22 19:08:19 SE Asia Standard Time,2023-02-22,19:08:19,+0700,91103761,widyarenee,Jeng Rini GL,,"Ibu @puanmaharani_ri masih keturunan Minang &amp; sbg pejabat, apakah akan diam saja thdp hal ini ? Tunggu laporan DPR kah ? Atau gak penting2 banget suara PDIP di Sumbar kali ya.. 😊   https://t.co/SNN9axlESU..  https://t.co/CbCbe6Mx10",in,"[{'screen_name': 'puanmaharani_ri', 'name': 'puan maharani', 'id': '1410866743271051267'}]",['https://regional.kompas.com/read/2023/02/21/173134078/rumah-singgah-soekarno-di-padang-dirobohkan-dpr-akan-lapor-ke-megawati?amp=1&page=2&jxconn=1*4lut9z*other_jxampid*al93a0ZUSWxxc3hvUlJCVEhRZXNzYnRTdU9WYmVHUHNVSjFoX2Y4eW1RNHBVeUIwS082ZUFwS3Q3Z1c2VFFHcQ'],"['https://pbs.twimg.com/media/FpkeS-YaYAIqS0d.jpg', 'https://pbs.twimg.com/media/FpkeTjCaMAEGqra.jpg']",0,0,0,[],[],https://twitter.com/Widyarenee/status/1628366069412007939,False,,1,https://pbs.twimg.com/media/FpkeS-YaYAIqS0d.jpg,,,,,,,[],,,,
1628365765266276354,1628190396630331393,2023-02-22 19:07:06 SE Asia Standard Time,2023-02-22,19:07:06,+0700,239332542,ndahmutty,Ndah Mutty,,"@AikHoki @maulanarifki @PNS_Ababil @prastow @kemendagri @kempanrb @KASN_RI @OmbudsmanRI137 @PNS_Garis_Lucu @mohmahfudmd @BKNgoid @puanmaharani_ri gak mau, ak perlu uang ny buat beli tiket pulkam huft",in,[],[],[],0,0,0,[],[],https://twitter.com/ndahmutty/status/1628365765266276354,False,,0,,,,,,,,"[{'screen_name': 'AikHoki', 'name': 'aik #HOKI', 'id': '1369573838007062535'}, {'screen_name': 'maulanarifki', 'name': 'rifki', 'id': '43473139'}, {'screen_name': 'PNS_Ababil', 'name': 'Kementrian Beban Negara (KemBeN)', 'id': '257207822'}, {'screen_name': 'prastow', 'name': 'Prastowo Yustinus', 'id': '88581196'}, {'screen_name': 'kemendagri', 'name': 'Kementerian Dalam Negeri', 'id': '1113646305585188864'}, {'screen_name': 'kempanrb', 'name': 'Kementerian PANRB', 'id': '1240689786'}, {'screen_name': 'KASN_RI', 'name': 'Komisi Aparatur Sipil Negara', 'id': '3092927767'}, {'screen_name': 'OmbudsmanRI137', 'name': 'Ombudsman RI', 'id': '125923625'}, {'screen_name': 'PNS_Garis_Lucu', 'name': 'PNS Garis Lucu 🏑', 'id': '1169788851482574848'}, {'screen_name': 'mohmahfudmd', 'name': 'Mahfud MD', 'id': '282006208'}, {'screen_name': 'BKNgoid', 'name': '#SatuDataASN', 'id': '393838920'}, {'screen_name': 'puanmaharani_ri', 'name': 'Puan Maharani', 'id': '1410866743271051267'}]",,,,
